Judge Name,Categories,Company 1,Company 2,Company 3,Company 4,Company 5,Company 6,Company 7,Company 8,Company 9,Company 10,Company 11,Company 12
Justin Obletz,"Advanced Materials, Agriculture, Manufacturing/Supply Chain, B2B Digital/SaaS, B2C Physical Products, B2C Digital/Apps, Drug Development, Energy/Defense/Environmental",Ave,GiftShop,Kopa,Lawroo,Chameleon Foods,Cleva,MiniFort,Mr. Barber on the Move,Flexwork,SetaTech
Malaina Weldy,"Advanced Materials, Commerce/Retail, B2C Physical Products, B2C Digital/Apps, B2B Digital/SaaS, Manufacturing/Supply Chain",Astromata,Bike Basics,Maia,Nora+,GoFix,Friends of Notre Dame,Rydr,Shortcastle,Legacy LLC,Unify
Neil Kane,"Advanced Materials, Commerce/Retail, Energy/Defense/Environmental",Back in the Bend,Chopan - Sourdough Bakery,CoSAL,G. Grips,GreenBaby,Project Shadow Band,Resenha/Sambinha Beverage Company,JAM Solar,SeekSmart,Small Animal Coffee House
Raegen Siegfried,"Advanced Materials, Energy/Defense/Environmental",JAM Solar,Mens et Manus,Phone Panel Plus,Shining Innovation LLC,Bridging the Gap for Women - Level Up with the Entrepreneur Residency ,United Workers Government and Organizations News (UWGBO News)
Michael Seiler,"Advanced Materials, Manufacturing/Supply Chain, B2B Digital/SaaS, B2C Digital/Apps",ArtVision,Comma,CutCapture,Gehr Co.,Maet,Minerva,GoFix,Podstax,Shortcastle,Study Abroad Go
Scott Noble,"Agriculture, Commerce/Retail, Advanced Materials, B2B Digital/SaaS, B2C Digital/Apps, Medical Device/Diagnostics, Energy/Defense/Environmental, B2C Physical Products, Manufacturing/Supply Chain",ArtVision,clearspace,Comma,Bedrock Oyster,Chameleon Foods,Cleva,Church Property Management,SetaTech,Launched,Shipshape Urban Farms
Mike Delany,"Agriculture, Commerce/Retail, Manufacturing/Supply Chain",Bedrock Oyster,Cleva,Friends of Notre Dame,Frontier,GreenBaby,SoftSea,Resenha/Sambinha Beverage Company,Samaritan,Trellis,Small Animal Coffee House
Ed Daniels,"Agriculture, Commerce/Retail, Manufacturing/Supply Chain, Advanced Materials, B2B Digital/SaaS",Chameleon Foods,SetaTech,Shipshape Urban Farms,Junior Changemakers,MoVE Office Automation,MPA for Retail Systems,SoftSea,MYND,Legacy LLC,Making the Shift
Tyler Hudson-Crimi,"Agriculture, Commerce/Retail, Manufacturing/Supply Chain, B2B Digital/SaaS, B2C Digital/Apps, B2C Physical Products, Energy/Defense/Environmental",activeARE,coffee + good,CutCapture,Bedrock Oyster,JubileeDAO & Currency for the Common Good,SetaTech,Shipshape Urban Farms,Babble Therapy Life Coach,Five Star Life Arts,MPA for Retail Systems
Soraya Hernandez,"Agriculture, Commerce/Retail, Manufacturing/Supply Chain, B2B Digital/SaaS, B2C Digital/Apps, B2C Physical Products, Medical Device/Diagnostics, Drug Development, Energy/Defense/Environmental, Advanced Materials",Byond,coffee + good,Back in the Bend,Cleva,Church Property Management,SetaTech,Frontier,BioMarq,Shipshape Urban Farms,Rydr
Michael Jennings,"Agriculture, Commerce/Retail, Manufacturing/Supply Chain, Energy/Defense/Environmental",Bedrock Oyster,Cleva,SetaTech,Shipshape Urban Farms,Junior Changemakers,SoftSea,Legacy LLC,Manning Beverages LLC,Project Shadow Band,Samaritan
Andreas Widmer,"Agriculture, Commerce/Retail, Manufacturing/Supply Chain, Energy/Defense/Environmental",Bedrock Oyster,Chameleon Foods,Call Me King Shoes,SetaTech,Frontier,Shipshape Urban Farms,SoftSea,Legacy LLC,Environmentalists for Education (E4E),Trellis
Robert Fulton,"Agriculture, Energy/Defense/Environmental",Cleva,Shipshape Urban Farms,SoftSea,JAM Solar,Trellis,Phone Panel Plus,Shining Innovation LLC,United Workers Government and Organizations News (UWGBO News)
Ray Vanek,"Agriculture, Manufacturing/Supply Chain, Energy/Defense/Environmental",Chameleon Foods,Cleva,SetaTech,Shipshape Urban Farms,SoftSea,Environmentalists for Education (E4E),Trellis,Mens et Manus,Shining Innovation LLC,United Workers Government and Organizations News (UWGBO News)
Phil Calandra,B2B Digital/SaaS,Electus Global Education Company,MoVE Office Automation,qibri,Routora,SpotSight,StudyPort,TD3 Innovative Gaming,TipOff,Top Prospect
Brian Davis,B2B Digital/SaaS,"KINGA SAFETY, INC",Mortgage Backed Blockchain Staking,MoVE Office Automation,MPA for Retail Systems,Nautilus,StudyPort,TD3 Innovative Gaming,TipOff,Top Prospect
Scott Voulgaris,"B2B Digital/SaaS, B2C Digital/Apps",Artistically Stupid,coffee + good,Lawroo,Period.,QuoteNote,Steed,TeacherTime Call Coverage,MYND,The Working Life,Nautilus
Scott Berg,"B2B Digital/SaaS, B2C Digital/Apps",ArtVision,Astromata,AUXIN Games,Ave,GotInfo,Launched,Monti,Steed,Study Abroad Go,MPA for Retail Systems
German Estrada,"B2B Digital/SaaS, B2C Digital/Apps",Astromata,Byond,EYIT Startup Financing Initiative (ESFI),Finbud,GotInfo,Lawroo,Maia,Nora+,ProfProven,Shortcastle
Manish Shah,"B2B Digital/SaaS, B2C Digital/Apps",Comma,CutCapture,Kopa,"KINGA SAFETY, INC",Launched,QuoteNote,Mimik Studio,Stroll Care,MoVE Office Automation,Study Abroad Go
Logan Herzog,"B2B Digital/SaaS, B2C Digital/Apps",Comma,Maia,MiniFort,Church Property Management,Lagom,ProfProven,Shortcastle,Study Abroad Go,TeacherTime Call Coverage,MYND
Maryann Wolff,"B2B Digital/SaaS, B2C Digital/Apps",Minerva,CampuSKey,Electus Global Education Company,Shortcastle,Mortgage Backed Blockchain Staking,The Working Life,Unify,Wend,Routora,You Give
Ryan Kreager,"B2B Digital/SaaS, B2C Digital/Apps, B2C Physical Products",C I V I T A S   ,Finbud,MiniFort,Mr. Barber on the Move,Rydr,Mimik Studio,Mortgage Backed Blockchain Staking,Study Abroad Go,MPA for Retail Systems,The Working Life
Eric Kullberg,"B2B Digital/SaaS, B2C Digital/Apps, B2C Physical Products, Advanced Materials",ArtVision,Ave,clearspace,coffee + good,GotInfo,Maet,Mr. Barber on the Move,Electus Global Education Company,MyStory,TeacherTime Call Coverage
Rita Zinn,"B2B Digital/SaaS, B2C Digital/Apps, B2C Physical Products, Commerce/Retail",Cobolic,Finbud,Bike Basics,GuidED,QuoteNote,Rydr,Mimik Studio,CTM (Competitive Training Metrics),Steed,TeacherTime Call Coverage
Pat Sigmon,"B2B Digital/SaaS, B2C Digital/Apps, B2C Physical Products, Medical Device/Diagnostics",activeARE,Artistically Stupid,ArtVision,JubileeDAO & Currency for the Common Good,Electus Global Education Company,Rydr,Mimik Studio,Study Abroad Go,TeacherTime Call Coverage,MYND
Kristin Marcuccilli,"B2B Digital/SaaS, B2C Digital/Apps, Commerce/Retail",Artistically Stupid,Byond,Comma,CutCapture,Kopa,Mr. Barber on the Move,Electus Global Education Company,Enabler ,MyStory,"KINGA SAFETY, INC"
Gary Sobolewski,"B2B Digital/SaaS, B2C Digital/Apps, Commerce/Retail",C I V I T A S   ,EYIT Startup Financing Initiative (ESFI),Finbud,Call Me King Shoes,CampuSKey,Church Property Management,Ezza Market ,"KINGA SAFETY, INC",GreenBaby,Junior Changemakers
Jane Hennessy,"B2B Digital/SaaS, B2C Digital/Apps, Commerce/Retail",Maet,Children's Home Infusion Pharmacy,Chopan - Sourdough Bakery,Electus Global Education Company,MyStory,Podstax,Launched,Jetta’s sweet & salty kettle corn ,Mortgage Backed Blockchain Staking,MoVE Office Automation
Syzmon Ryzner,"B2B Digital/SaaS, B2C Digital/Apps, Drug Development, Medical Device/Diagnostics",Astromata,Comma,EYIT Startup Financing Initiative (ESFI),Gehr Co.,GotInfo,Launched,Rydr,Shortcastle,Steed,Mortgage Backed Blockchain Staking
Rahul Miglani,"B2B Digital/SaaS, B2C Digital/Apps, Drug Development, Medical Device/Diagnostics",Ave,Maet,MyStory,ProfProven,BioMarq,Monti,Steed,MYND,The People's Data Project,The Working Life
Tim Connors,"B2B Digital/SaaS, B2C Digital/Apps, Energy/Defense/Environmental",Byond,clearspace,EYIT Startup Financing Initiative (ESFI),Nora+,GoFix,ProfProven,Mimik Studio,MoVE Office Automation,Study Abroad Go,TeacherTime Call Coverage
Will Alverson,"B2B Digital/SaaS, B2C Digital/Apps, Energy/Defense/Environmental, Manufacturing/Supply Chain",Cobolic,Kopa,Lawroo,Church Property Management,ProfProven,Shortcastle,Mortgage Backed Blockchain Staking,MPA for Retail Systems,The People's Data Project,The Working Life
Francis Williams,"B2B Digital/SaaS, B2C Digital/Apps, Energy/Defense/Environmental, Manufacturing/Supply Chain, Advanced Materials, Commerce/Retail, Agriculture, B2C Physical Products, Medical Device/Diagnostics",C I V I T A S   ,EYIT Startup Financing Initiative (ESFI),Bedrock Oyster,JubileeDAO & Currency for the Common Good,Kopa,Maet,Children's Home Infusion Pharmacy,CoSAL,SetaTech,Period.
Peter Flood,"B2B Digital/SaaS, B2C Digital/Apps, Medical Device/Diagnostics, Commerce/Retail",BeautyAround,Byond,clearspace,GotInfo,CoSAL,MiniFort,GuidED,ProfProven,BioMarq,GreenBaby
Patrick Farran,"B2B Digital/SaaS, B2C Digital/Apps, Medical Device/Diagnostics, Energy/Defense/Environmental, B2C Physical Products",BeautyAround,C I V I T A S   ,MiniFort,Church Property Management,Flexwork,GoFix,QuoteNote,Monti,CTM (Competitive Training Metrics),Stroll Care
Steve Roe,"B2B Digital/SaaS, B2C Physical Products",Lagom,Babble Therapy Life Coach,General Debauchery ,Nautilus,heARsight,SpotSight,StudyPort,TD3 Innovative Gaming,Tangler Wrangler,The Vitalist
Larry Augustin,"B2B Digital/SaaS, Manufacturing/Supply Chain",GuidED,MYND,qibri,Routora,StudyPort,TD3 Innovative Gaming,TipOff,Top Prospect,G-Dustbin
Pete Effler,"B2B Digital/SaaS, Manufacturing/Supply Chain, Advanced Materials",SpotSight,TD3 Innovative Gaming,TipOff,Bridging the Gap for Women - Level Up with the Entrepreneur Residency ,Top Prospect,G-Dustbin
Daniel Morden,"B2B Digital/SaaS, Manufacturing/Supply Chain, Advanced Materials, Energy/Defense/Environmental, B2C Physical Products","KINGA SAFETY, INC",Launched,Nautilus,LOOMING,PaceDrone,StudyPort,ShoreUp,TD3 Innovative Gaming,Tangler Wrangler,Mens et Manus
Brian Cho,"B2B Digital/SaaS, Manufacturing/Supply Chain, B2C Physical Products",Flexwork,GoFix,GuidED,Launched,Mimik Studio,MoVE Office Automation,General Debauchery ,Nautilus,qibri,heARsight
Nicolas Schaettel,"B2B Digital/SaaS, Medical Device/Diagnostics","KINGA SAFETY, INC",BioMarq,Mimik Studio,Mortgage Backed Blockchain Staking,Duniven Dental - Making Improved Dental Instruments,qibri,Routora,HexBR,SpotSight,StudyPort
Keith Harwood,B2C Digital/Apps,Astromata,Cobolic,Period.,QuoteNote,TeacherTime Call Coverage,The People's Data Project,Wend,You Give,ZuzuForKids.com
Tom Keuten,"B2C Digital/Apps, B2B Digital/SaaS",activeARE,Cobolic,Comma,CutCapture,GiftShop,Kopa,MiniFort,Period.,"KINGA SAFETY, INC",Mimik Studio
Johnny Whichard,"B2C Digital/Apps, B2B Digital/SaaS",activeARE,Artistically Stupid,Byond,"KINGA SAFETY, INC",ProfProven,Stroll Care,Study Abroad Go,MYND,The People's Data Project,The Working Life
Daniela Tomas,"B2C Digital/Apps, B2B Digital/SaaS",Cobolic,CutCapture,MyStory,QuoteNote,Monti,MPA for Retail Systems,The Working Life,Unify,qibri,Wend
Dominic Go,"B2C Digital/Apps, B2B Digital/SaaS, B2C Physical Products, Energy/Defense/Environmental, Manufacturing/Supply Chain, Advanced Materials",Cobolic,Comma,Finbud,Kopa,Lawroo,Electus Global Education Company,MyStory,Flexwork,Nora+,CTM (Competitive Training Metrics)
Chris Orenchuk,"B2C Digital/Apps, B2B Digital/SaaS, Commerce/Retail, B2C Physical Products",activeARE,clearspace,A Gluten Free Cottage Bakery ,Bike Basics,CoSAL,Podstax,CTM (Competitive Training Metrics),Mortgage Backed Blockchain Staking,Five Star Life Arts,Study Abroad Go
Mike Scrudato,"B2C Digital/Apps, B2C Physical Products, B2B Digital/SaaS",Artistically Stupid,ArtVision,Ave,C I V I T A S   ,Finbud,GotInfo,CampuSKey,Electus Global Education Company,Launched,Rydr
Jay DeCoons,"B2C Digital/Apps, B2C Physical Products, B2B Digital/SaaS",EYIT Startup Financing Initiative (ESFI),GiftShop,Lawroo,Shortcastle,The People's Data Project,Unify,Wend,Routora,You Give,LOOMING
