Judge Name,Categories,Company 1,Company 2,Company 3,Company 4,Company 5,Company 6,Company 7,Company 8,Company 9,Company 10,Company 11,Company 12
Justin Obletz,"Advanced Materials, Agriculture, Manufacturing/Supply Chain, B2B Digital/SaaS, B2C Physical Products, B2C Digital/Apps, Drug Development, Energy/Defense/Environmental",Ave - B2C Digital/Apps.,GiftShop - B2C Digital/Apps.,Kopa - B2C Digital/Apps.,Lawroo - B2C Digital/Apps.,Chameleon Foods - Agriculture.,Cleva - Agriculture.,MiniFort - B2C Digital/Apps.,Mr. Barber on the Move - B2C Digital/Apps.,Flexwork - B2B Digital/SaaS.,SetaTech - Agriculture.
Malaina Weldy,"Advanced Materials, Commerce/Retail, B2C Physical Products, B2C Digital/Apps, B2B Digital/SaaS, Manufacturing/Supply Chain",Astromata - B2C Digital/Apps.,Bike Basics - Commerce/Retail.,Maia - B2C Digital/Apps.,Nora+ - B2C Digital/Apps.,GoFix - B2B Digital/SaaS.,Friends of Notre Dame - Commerce/Retail.,Rydr - B2C Digital/Apps.,Shortcastle - B2C Digital/Apps.,Legacy LLC - Commerce/Retail.,Unify - B2C Digital/Apps.
Neil Kane,"Advanced Materials, Commerce/Retail, Energy/Defense/Environmental",Back in the Bend - Commerce/Retail.,Chopan - Sourdough Bakery - Commerce/Retail.,CoSAL - Commerce/Retail.,G. Grips - Commerce/Retail.,GreenBaby - Commerce/Retail.,Project Shadow Band - Commerce/Retail.,Resenha/Sambinha Beverage Company - Commerce/Retail.,JAM Solar - Energy/Defense/Environmental.,SeekSmart - Commerce/Retail.,Small Animal Coffee House - Commerce/Retail.
Raegen Siegfried,"Advanced Materials, Energy/Defense/Environmental",JAM Solar - Energy/Defense/Environmental.,Mens et Manus - Energy/Defense/Environmental.,Phone Panel Plus - Energy/Defense/Environmental.,Shining Innovation LLC - Energy/Defense/Environmental.,Bridging the Gap for Women - Level Up with the Entrepreneur Residency  - Advanced Materials.,United Workers Government and Organizations News (UWGBO News) - Energy/Defense/Environmental.
Michael Seiler,"Advanced Materials, Manufacturing/Supply Chain, B2B Digital/SaaS, B2C Digital/Apps",ArtVision - B2C Digital/Apps.,Comma - B2C Digital/Apps.,CutCapture - B2C Digital/Apps.,Gehr Co. - B2C Digital/Apps.,Maet - B2C Digital/Apps.,Minerva - B2C Digital/Apps.,GoFix - B2B Digital/SaaS.,Podstax - B2C Digital/Apps.,Shortcastle - B2C Digital/Apps.,Study Abroad Go - B2C Digital/Apps.
Scott Noble,"Agriculture, Commerce/Retail, Advanced Materials, B2B Digital/SaaS, B2C Digital/Apps, Medical Device/Diagnostics, Energy/Defense/Environmental, B2C Physical Products, Manufacturing/Supply Chain",ArtVision - B2C Digital/Apps.,clearspace - B2C Digital/Apps.,Comma - B2C Digital/Apps.,Bedrock Oyster - Agriculture.,Chameleon Foods - Agriculture.,Cleva - Agriculture.,Church Property Management - B2B Digital/SaaS.,SetaTech - Agriculture.,Launched - B2B Digital/SaaS.,Shipshape Urban Farms - Agriculture.
Mike Delany,"Agriculture, Commerce/Retail, Manufacturing/Supply Chain",Bedrock Oyster - Agriculture.,Cleva - Agriculture.,Friends of Notre Dame - Commerce/Retail.,Frontier - Commerce/Retail.,GreenBaby - Commerce/Retail.,SoftSea - Agriculture.,Resenha/Sambinha Beverage Company - Commerce/Retail.,Samaritan - Commerce/Retail.,Trellis - Agriculture.,Small Animal Coffee House - Commerce/Retail.
Ed Daniels,"Agriculture, Commerce/Retail, Manufacturing/Supply Chain, Advanced Materials, B2B Digital/SaaS",Chameleon Foods - Agriculture.,SetaTech - Agriculture.,Shipshape Urban Farms - Agriculture.,Junior Changemakers - Commerce/Retail.,MoVE Office Automation - B2B Digital/SaaS.,MPA for Retail Systems - B2B Digital/SaaS.,SoftSea - Agriculture.,MYND - B2B Digital/SaaS.,Legacy LLC - Commerce/Retail.,Making the Shift - Commerce/Retail.
Tyler Hudson-Crimi,"Agriculture, Commerce/Retail, Manufacturing/Supply Chain, B2B Digital/SaaS, B2C Digital/Apps, B2C Physical Products, Energy/Defense/Environmental",activeARE - B2C Digital/Apps.,coffee + good - B2C Digital/Apps.,CutCapture - B2C Digital/Apps.,Bedrock Oyster - Agriculture.,JubileeDAO & Currency for the Common Good - B2C Digital/Apps.,SetaTech - Agriculture.,Shipshape Urban Farms - Agriculture.,Babble Therapy Life Coach - B2C Physical Products.,Five Star Life Arts - B2C Physical Products.,MPA for Retail Systems - B2B Digital/SaaS.
Soraya Hernandez,"Agriculture, Commerce/Retail, Manufacturing/Supply Chain, B2B Digital/SaaS, B2C Digital/Apps, B2C Physical Products, Medical Device/Diagnostics, Drug Development, Energy/Defense/Environmental, Advanced Materials",Byond - B2C Digital/Apps.,coffee + good - B2C Digital/Apps.,Back in the Bend - Commerce/Retail.,Cleva - Agriculture.,Church Property Management - B2B Digital/SaaS.,SetaTech - Agriculture.,Frontier - Commerce/Retail.,BioMarq - Medical Device/Diagnostics.,Shipshape Urban Farms - Agriculture.,Rydr - B2C Digital/Apps.
Michael Jennings,"Agriculture, Commerce/Retail, Manufacturing/Supply Chain, Energy/Defense/Environmental",Bedrock Oyster - Agriculture.,Cleva - Agriculture.,SetaTech - Agriculture.,Shipshape Urban Farms - Agriculture.,Junior Changemakers - Commerce/Retail.,SoftSea - Agriculture.,Legacy LLC - Commerce/Retail.,Manning Beverages LLC - Commerce/Retail.,Project Shadow Band - Commerce/Retail.,Samaritan - Commerce/Retail.
Andreas Widmer,"Agriculture, Commerce/Retail, Manufacturing/Supply Chain, Energy/Defense/Environmental",Bedrock Oyster - Agriculture.,Chameleon Foods - Agriculture.,Call Me King Shoes - Commerce/Retail.,SetaTech - Agriculture.,Frontier - Commerce/Retail.,Shipshape Urban Farms - Agriculture.,SoftSea - Agriculture.,Legacy LLC - Commerce/Retail.,Environmentalists for Education (E4E) - Energy/Defense/Environmental.,Trellis - Agriculture.
Robert Fulton,"Agriculture, Energy/Defense/Environmental",Cleva - Agriculture.,Shipshape Urban Farms - Agriculture.,SoftSea - Agriculture.,JAM Solar - Energy/Defense/Environmental.,Trellis - Agriculture.,Phone Panel Plus - Energy/Defense/Environmental.,Shining Innovation LLC - Energy/Defense/Environmental.,United Workers Government and Organizations News (UWGBO News) - Energy/Defense/Environmental.
Ray Vanek,"Agriculture, Manufacturing/Supply Chain, Energy/Defense/Environmental",Chameleon Foods - Agriculture.,Cleva - Agriculture.,SetaTech - Agriculture.,Shipshape Urban Farms - Agriculture.,SoftSea - Agriculture.,Environmentalists for Education (E4E) - Energy/Defense/Environmental.,Trellis - Agriculture.,Mens et Manus - Energy/Defense/Environmental.,Shining Innovation LLC - Energy/Defense/Environmental.,United Workers Government and Organizations News (UWGBO News) - Energy/Defense/Environmental.
Phil Calandra,B2B Digital/SaaS,Electus Global Education Company - B2B Digital/SaaS.,MoVE Office Automation - B2B Digital/SaaS.,qibri - B2B Digital/SaaS.,Routora - B2B Digital/SaaS.,SpotSight - B2B Digital/SaaS.,StudyPort - B2B Digital/SaaS.,TD3 Innovative Gaming - B2B Digital/SaaS.,TipOff - B2B Digital/SaaS.,Top Prospect - B2B Digital/SaaS.
Brian Davis,B2B Digital/SaaS,"KINGA SAFETY, INC - B2B Digital/SaaS.",Mortgage Backed Blockchain Staking - B2B Digital/SaaS.,MoVE Office Automation - B2B Digital/SaaS.,MPA for Retail Systems - B2B Digital/SaaS.,Nautilus - B2B Digital/SaaS.,StudyPort - B2B Digital/SaaS.,TD3 Innovative Gaming - B2B Digital/SaaS.,TipOff - B2B Digital/SaaS.,Top Prospect - B2B Digital/SaaS.
Scott Voulgaris,"B2B Digital/SaaS, B2C Digital/Apps",Artistically Stupid - B2C Digital/Apps.,coffee + good - B2C Digital/Apps.,Lawroo - B2C Digital/Apps.,Period. - B2C Digital/Apps.,QuoteNote - B2C Digital/Apps.,Steed - B2C Digital/Apps.,TeacherTime Call Coverage - B2C Digital/Apps.,MYND - B2B Digital/SaaS.,The Working Life - B2C Digital/Apps.,Nautilus - B2B Digital/SaaS.
Scott Berg,"B2B Digital/SaaS, B2C Digital/Apps",ArtVision - B2C Digital/Apps.,Astromata - B2C Digital/Apps.,AUXIN Games - B2C Digital/Apps.,Ave - B2C Digital/Apps.,GotInfo - B2C Digital/Apps.,Launched - B2B Digital/SaaS.,Monti - B2B Digital/SaaS.,Steed - B2C Digital/Apps.,Study Abroad Go - B2C Digital/Apps.,MPA for Retail Systems - B2B Digital/SaaS.
German Estrada,"B2B Digital/SaaS, B2C Digital/Apps",Astromata - B2C Digital/Apps.,Byond - B2C Digital/Apps.,EYIT Startup Financing Initiative (ESFI) - B2C Digital/Apps.,Finbud - B2C Digital/Apps.,GotInfo - B2C Digital/Apps.,Lawroo - B2C Digital/Apps.,Maia - B2C Digital/Apps.,Nora+ - B2C Digital/Apps.,ProfProven - B2C Digital/Apps.,Shortcastle - B2C Digital/Apps.
Manish Shah,"B2B Digital/SaaS, B2C Digital/Apps",Comma - B2C Digital/Apps.,CutCapture - B2C Digital/Apps.,Kopa - B2C Digital/Apps.,"KINGA SAFETY, INC - B2B Digital/SaaS.",Launched - B2B Digital/SaaS.,QuoteNote - B2C Digital/Apps.,Mimik Studio - B2B Digital/SaaS.,Stroll Care - B2C Digital/Apps.,MoVE Office Automation - B2B Digital/SaaS.,Study Abroad Go - B2C Digital/Apps.
